      99      14      32       1       0       2       1
     100     246     580      47      10      75      47
     101    1801    4238     172      16     367     172
     102    1637    3852     195      46     386     196
     103      11      25     963     366    1612     966
     104      97     230    4556    1780    5240    4567
     105    1226    2924    8108    3148    9160    8127
     106     178     423    1630     745    1891    1634
     107      52     113     187      70     214     187
     108     253     565    1714     720    2401    1718
     109     138     307     105      74     154     105
     110     656    1465    1022     704    2059    1024
     111      35      94     392     294     523     393
     112     269     726     755     484     991     756
     113     145     393    1741    1872    2582    1746
     114      28      76    1405    1201    1907    1409
     115     584    1566     459     199     574     460
     116     664    1880     207      55     272     207
     117     842    2051     692     462     944     694
     118      76     185     688     768    1088     690
     119     350     858     329     308     506     329
     120     290     707     465     482     712     466
     121     645    1666     307     248     462     308
     122     400    1065      72       1     105      72
     123     390    1039     345     317     516     346
     124      85     186    3905    4985    6131    3914
     125     537    1173     732     732    1090     734
     126     635    1307     445     329     627     446
     127      22      47    1291     495    1432    1294
     128     707    1808     633     390     848     634
     129     223     540     229     207     339     230
     130     331     800     284     241     424     285
     131     324     780     169      96     238     169
     132      48     115     478     488     709     479
     133     445    1118     425     324     602     426
     134     314     791    1261    1072    1750    1264
     135     498    1002      84       3     122      84
     136       0       0     335     430     527     336
     137     870    1869     397     317     594     398
     138     419     903     196     177     299     197
     139       2       3      10      12      17      10
     140     929    2075     197      39     295     198
     141     223     498     515     345     689     516
     142     355     920     395     274     540     396
     143     205     532     275     265     409     275
     144      23      53     927    1161    1457     930
     145     998    2245     339     239     518     340
     146      31      69     437     484     691     438
     147     483    1256     379     326     575     380
     148     920    2537     494     223     642     495
     149      90     247     878     659    1159     880
     150      82     207     494     333     643     495
     151       9      24    2442    1127    2826    2448
     152     157     391     657     669     984     659
     153     912    2282     433     304     665     434
     154     123     295     751     901    1180     753
     155     155     370      29       3      42      29
     156     320     764     191     158     288     191
     157      87     206     874     478    1061     876
     158     358     846     311     249     460     311
     159     660    1563    4983    1943    5598    4995
     160      11      27    2616    2573    3901    2622
     161      63     150    2690    1742    3394    2696
     162       5      11    3750    3911    5735    3759
     163     207     494      50       9      69      50
     164     170     404      42      12      59      42
     165      94     223    5311    2037    5892    5324
     166     203     483     734     297     838     736
     167     633    1530     797     898    1235     799
     168    1200    3373    1427    1716    4823    2046
     169    1030    2895    1225    1087    3054    1295
     170      32      89      38      32      89      38
     171      99     278     118      99     279     118
     172     144     406     172     144     406     172
     173    3251    9139    3866    3360    9443    4006
     174     264     743     314     267     750     318
     175     612    1719     727     181     509     216
     176     159     446     189     159     446     189
     177    1416    3981    1684    1435    4033    1710
     178    1410    3963    1677    1498    4209    1785
     179      46     130      55      46     130      55
     180     312     877     371     258     725     308
     181       3       8       3       3       8       3
     182     227     639     270     248     696     295
     183    1511    4248    1797    1302    3660    1553
     184     584    1641     694     652    1832     777
     185       1       4       2       1       4       2
     186     260     730     309     224     629     267
     187     305     857     362     238     668     283
     188      29      80      34      27      77      33
     189     103     290     123     126     354     150
     190      10      28      12      10      28      12
     191     370    1041     440     374    1051     445
     192       6      16       7      31      88      37
     193      29      81      34      29      81      34
     194    1148    3226    1365    1148    3226    1368
     195      53     150      63      89     251     106
     196      87     246     104      74     209      89
     197      40     113      48      77     217      92
     198      11      31      13      21      58      25
     199    1298    3648    1543     820    2305     977
