     151       9      24      17    1125    2700    2586
     152     157     391     289     668     940     696
     153     912    2282    1683     303     635     458
     154     123     295     215     899    1127     795
     155     155     370     272       3      40      31
     156     320     764     560     158     275     202
     157      87     206     152     477    1014     925
     158     358     846     628     249     439     329
     159     660    1563    1161    1939    5348    5276
     160      11      27      19    2568    3727    2770
     161      63     150     111    1739    3242    2848
     162       5      11       8    3903    5479    3971
     163     207     494     366       9      66      53
     164     170     404     299      12      56      44
     165      94     223     166    2033    5629    5624
     166     203     483     358     296     801     777
     167     633    1530    1012     896    1180     844
     168    1200    3373    1427    1716    4823    2041
     169    1030    2895    1225    1087    3054    1292
     170      32      89      38      32      89      38
     171      99     278     118      99     279     118
     172     144     406     172     144     406     172
     173    3251    9139    3866    3360    9444    3996
     174     264     743     314     267     750     317
     175     612    1719     727     181     509     215
     176     159     446     189     159     446     189
     177    1416    3981    1684    1435    4033    1706
     178    1410    3963    1677    1498    4209    1781
     179      46     130      55      46     130      55
     180     312     877     371     258     725     307
     181       3       8       3       3       8       3
     182     227     639     270     248     696     294
     183    1511    4248    1797    1302    3660    1549
     184     584    1641     694     652    1832     775
     185       1       4       2       1       4       2
     186     260     730     309     224     629     266
     187     305     857     362     238     668     282
     188      29      80      34      27      77      33
     189     103     290     123     126     354     150
     190      10      28      12      10      28      12
     191     370    1041     440     374    1051     444
     192       6      16       7      31      88      37
     193      29      81      34      29      81      34
     194    1148    3226    1365    1148    3226    1365
     195      53     150      63      89     251     106
     196      87     246     104      74     209      89
     197      40     113      48      77     217      92
     198      11      31      13      21      58      25
     199    1298    3648    1543     820    2305     975
